prop,count,
http://www.wikidata.org/P4659,21,
http://www.wikidata.org/P4659,21,
http://www.wikidata.org/P487,20,
http://www.wikidata.org/P487,20,
http://www.wikidata.org/P244,19,
http://www.wikidata.org-normalized/P244,19,
http://www.wikidata.org/P244,19,
http://www.wikidata.org/P576,19,
http://www.wikidata.org/P576,19,
http://www.wikidata.org/P4905,18,
http://www.wikidata.org/P4905,18,
http://www.wikidata.org/P9144,18,
http://www.wikidata.org/P9144,18,
http://www.wikidata.org/P4373,18,
http://www.wikidata.org/P4373,18,
http://www.wikidata.org/P674,17,
http://www.wikidata.org/P674,17,
http://www.wikidata.org/P2014,16,
http://www.wikidata.org/P2014,16,
http://www.wikidata.org/P3342,16,
http://www.wikidata.org/P3342,16,
http://www.wikidata.org/P1050,16,
http://www.wikidata.org/P1050,16,
http://www.wikidata.org/P1813,16,
http://www.wikidata.org/P1813,16,
http://www.wikidata.org/P149,15,
http://www.wikidata.org/P149,15,
http://www.wikidata.org/P691,15,
http://www.wikidata.org/P691,15,
http://www.wikidata.org/P580,15,
http://www.wikidata.org/P580,15,
http://www.wikidata.org/P825,15,
http://www.wikidata.org/P825,15,
http://www.wikidata.org/P1184,15,
http://www.wikidata.org/P1184,15,
http://www.wikidata.org/P176,15,
http://www.wikidata.org/P176,15,
http://www.wikidata.org/P3018,14,
http://www.wikidata.org/P3018,14,
http://www.wikidata.org/P1417,14,
http://www.wikidata.org/P1417,14,
http://www.wikidata.org/P9394,13,
http://www.wikidata.org/P9394,13,
http://www.wikidata.org/P2043,13,
http://www.wikidata.org/P2043,13,
http://www.wikidata.org/P937,13,
http://www.wikidata.org/P937,13,
http://www.wikidata.org/P4969,13,
http://www.wikidata.org/P4969,13,
http://www.wikidata.org/P5816,13,
http://www.wikidata.org/P5816,13,
http://www.wikidata.org/P345,12,
http://www.wikidata.org/P2284,12,
http://www.wikidata.org/P2284,12,
http://www.wikidata.org/P1449,12,
http://www.wikidata.org/P1449,12,
http://www.wikidata.org/P2348,12,
http://www.wikidata.org/P2348,12,
http://www.wikidata.org/P3417,11,
http://www.wikidata.org/P3417,11,
http://www.wikidata.org/P941,11,
http://www.wikidata.org/P941,11,
http://www.wikidata.org/P8189,11,
http://www.wikidata.org/P8189,11,
http://www.wikidata.org/P1957,11,
http://www.wikidata.org/P1957,11,
http://www.wikidata.org/P7153,11,
http://www.wikidata.org/P7153,11,
http://www.wikidata.org/P50,10,
http://www.wikidata.org/P50,10,
http://www.wikidata.org/P460,10,
http://www.wikidata.org/P460,10,
http://www.wikidata.org/P1028,10,
http://www.wikidata.org/P1028,10,
http://www.wikidata.org/P243,10,
http://www.wikidata.org-normalized/P243,10,
http://www.wikidata.org/P243,10,
http://www.wikidata.org/P291,10,
http://www.wikidata.org/P291,10,
http://www.wikidata.org/P10779,10,
http://www.wikidata.org/P10779,10,
http://www.wikidata.org/P1299,9,
http://www.wikidata.org/P1299,9,
http://www.wikidata.org/P4610,9,
http://www.wikidata.org/P4610,9,
http://www.wikidata.org/P767,9,
http://www.wikidata.org/P767,9,
http://www.wikidata.org/P6482,9,
http://www.wikidata.org/P6482,9,
http://www.wikidata.org/P8960,9,
http://www.wikidata.org/P8960,9,
http://www.wikidata.org/P2092,9,
http://www.wikidata.org/P2092,9,
http://www.wikidata.org/P10689,9,
http://www.wikidata.org/P10689,9,
http://www.wikidata.org/P2386,9,
http://www.wikidata.org/P2386,9,
http://www.wikidata.org/P6379,9,
http://www.wikidata.org/P6379,9,
http://www.wikidata.org/P6355,9,
http://www.wikidata.org/P6355,9,
http://www.wikidata.org/P734,9,
http://www.wikidata.org/P734,9,
http://www.wikidata.org/P268,9,
http://www.wikidata.org-normalized/P268,9,
http://www.wikidata.org/P268,9,
