item,itemLabel,oeblxml,GND
http://www.wikidata.org/entity/Q89724,Ernst Gotthilf,G/Gotthilf-Miskolczy_Ernst_1865_,1011384191
http://www.wikidata.org/entity/Q89736,Hubert Gessner,G/Gessner_Hubert_1871_1943,120488566
http://www.wikidata.org/entity/Q90019,Otto von Fürth,F/Fuerth_Otto_1867_1938,117540277
http://www.wikidata.org/entity/Q90108,Sepp Innerkofler,I/Innerkofler_Sepp_1865_1915,117653411
http://www.wikidata.org/entity/Q90199,Wenzel Joseph von Colloredo,C/Colloredo-Mels-Wallsee_Wenzel-Joseph_1738_1822,131469517
http://www.wikidata.org/entity/Q90215,Joseph Feßler,F/Fessler_Josef_1813_1872,119104520
http://www.wikidata.org/entity/Q92301,Eduard Duller,D/Duller_Eduard_1809_1853,118968572
http://www.wikidata.org/entity/Q94065,Karl Diener,D/Diener_Carl_1862_1928,116103256
http://www.wikidata.org/entity/Q94071,Richard Batka,B/Batka_Richard_1868_1922,116081384
http://www.wikidata.org/entity/Q94092,Hans Benndorf,B/Benndorf_Hans_1870_1953,116121130
http://www.wikidata.org/entity/Q94302,Emanuel Herrmann,H/Herrmann_Emanuel_1839_1902,11674698X
http://www.wikidata.org/entity/Q94672,Julius Anton Glaser,G/Glaser_Julius_1831_1885,119360667
http://www.wikidata.org/entity/Q95203,Jan Pětr Jordan,J/Jordan_Jan-Petr_1818_1891,117655988
http://www.wikidata.org/entity/Q96341,Friedrich Beckmann,B/Beckmann_Friedrich_1803_1866,116106409
http://www.wikidata.org/entity/Q97522,Max Devrient,D/Devrient_Max_1857_1929,116089067
http://www.wikidata.org/entity/Q546526,János Hunfalvy,H/Hunfalvy_Johann_1820_1888,117069094
http://www.wikidata.org/entity/Q550825,Hans Rott,R/Rott_Hans_1858_1884,121196488
http://www.wikidata.org/entity/Q563172,Anna Schimon-Regan,S/Schimon-Regan_Anna_1841_1902,116406437
http://www.wikidata.org/entity/Q569369,József Rippl-Rónai,R/Rippl-Ronai_Jozsef_1861_1927,118601210
http://www.wikidata.org/entity/Q569557,Anselm Hüttenbrenner,H/Huettenbrenner_Anselm_1794_1868,118554492
http://www.wikidata.org/entity/Q570279,Luigi Ricci,R/Ricci_Luigi_1805_1859,132700107
http://www.wikidata.org/entity/Q570773,Antal Ligeti,L/Ligeti_Antal_1823_1890,1019387351
http://www.wikidata.org/entity/Q570773,Antal Ligeti,L/Ligeti_Antal_1823_1890,1036916774
http://www.wikidata.org/entity/Q572063,Flóris Korb,K/Korb_Floris-Nandor_1860_1930,1013196953
http://www.wikidata.org/entity/Q578400,Margit Wein,A/Abranyi-Laszlofalva-Mikefoeld_Margit_1861_1948,1150894806
http://www.wikidata.org/entity/Q580264,Djordje Joannović,J/Joanovic_Djordje_1871_1932,1012895327
http://www.wikidata.org/entity/Q580552,Hermann Winkelmann,W/Winkelmann_Hermann_1847_1912,117414840
http://www.wikidata.org/entity/Q588144,Anton Battig,B/Battig_Antonio_1832_1896,1137226498
http://www.wikidata.org/entity/Q588370,Anton Boller,B/Boller_Anton_1811_1869,135553911
http://www.wikidata.org/entity/Q588744,Anton Cyril Stojan,S/Stojan_Antonin-Cyril_1851_1923,119369710
http://www.wikidata.org/entity/Q588765,Anton David Steiger,S/Steiger-Amstein_Anton-David_1755_1832,1036144542
http://www.wikidata.org/entity/Q588986,Anton Dreher junior,D/Dreher_Anton_1849_1921,13569826X
http://www.wikidata.org/entity/Q590955,Anton Karl Grünwald,G/Gruenwald_Anton-Karl_1838_1920,140233628
http://www.wikidata.org/entity/Q591870,Anton Mauss,M/Mauss_Anton_1868_1917,102048070X
http://www.wikidata.org/entity/Q592259,Anton Ohorn,O/Ohorn_Anton_1846_1924,117112518
http://www.wikidata.org/entity/Q592907,Anton Pohl,P/Pohl_Anton_1870_1939,1026273935
http://www.wikidata.org/entity/Q593945,Anton Schott,S/Schott_Anton_1866_1945,131864823
http://www.wikidata.org/entity/Q595015,Anton Uran,U/Uran_Anton_1920_1943,1070536717
http://www.wikidata.org/entity/Q596404,Anton von Ruthner,R/Ruthner_Anton_1817_1897,117599352
http://www.wikidata.org/entity/Q597740,Paul Grohmann,G/Grohmann_Paul_1838_1908,117563757
http://www.wikidata.org/entity/Q597865,Nikolaus II. Esterházy de Galantha,E/Esterhazy_Nikolaus-II_1765_1833,130146870
http://www.wikidata.org/entity/Q599916,Antonín Marek,M/Marek_Antonin_1785_1877,129472433
http://www.wikidata.org/entity/Q600579,Antal Szkalnitzky,S/Szkalnitzky_Antal_1836_1878,119357445
http://www.wikidata.org/entity/Q606053,Antonio de Pian,P/Pian_Antonio_1784_1851,139436332
http://www.wikidata.org/entity/Q608342,Antonín František Bečvařovský,B/Becvarovsky_Anton-Felix_1754_1823,102499020
http://www.wikidata.org/entity/Q608774,Antonín Sova,S/Sova_Antonin_1864_1928,119053519
http://www.wikidata.org/entity/Q609963,Wilhelm August Rieder,R/Rieder_Wilhelm-August_1796_1880,117532525
http://www.wikidata.org/entity/Q613125,Tivadar Kosztka Csontváry,K/Kosztka_Tivadar_1853_1919,118872273
http://www.wikidata.org/entity/Q622305,Alexandru Vaida-Voievod,V/Vaida-Voevod_Alexandru_1872_1950,118803662
http://www.wikidata.org/entity/Q624998,August Karl Joseph Corda,C/Corda_August-Karl-Josef_1805_1849,11667153X
http://www.wikidata.org/entity/Q634047,Miklós Jósika,J/Josika-Branyicska_Miklos_1794_1865,123011027
http://www.wikidata.org/entity/Q637649,Heinrich von Hess,H/Hess_Heinrich_1788_1870,118550330
http://www.wikidata.org/entity/Q638747,Sándor Szurmay,S/Szurmay-Uzsok_Sandor_1860_1945,1050522966
http://www.wikidata.org/entity/Q640342,Leopold Carl Müller,M/Mueller_Leopold-Karl_1834_1892,119337975
http://www.wikidata.org/entity/Q646146,Walter Serner,S/Serner_Walter_1889_1942,118764764
http://www.wikidata.org/entity/Q647871,Siegmund von Hausegger,H/Hausegger_Siegmund_1872_1948,116537620
http://www.wikidata.org/entity/Q658927,Alois Wehrle,W/Wehrle_Alois_1791_1835,100695183
http://www.wikidata.org/entity/Q661633,Gábor Vajna,V/Vajna_Gabor_1891_1946,1148799354
http://www.wikidata.org/entity/Q662634,Viktor Tausk,T/Tausk_Viktor_1879_1919,119045036
http://www.wikidata.org/entity/Q666501,Maximilian Njegovan,N/Njegovan_Maximilian_1858_1930,1024524175
http://www.wikidata.org/entity/Q668522,Joseph Russegger,R/Russegger_Josef_1802_1863,116710713
http://www.wikidata.org/entity/Q671839,Carl Rahl,R/Rahl_Karl_1812_1865,116324554
http://www.wikidata.org/entity/Q673686,Ludwig von Holzgethan,H/Holzgethan_Ludwig_1810_1876,137629559
http://www.wikidata.org/entity/Q676025,Giulio Carcano,C/Carcano_Giulio_1812_1884,119217791
