i,item,itemLabel,oeblid,apis_id
14417,http://www.wikidata.org/entity/Q55900986,Franz Hoeck,H/Hoeck_Franz_1749_1835,77085.0
14418,http://www.wikidata.org/entity/Q55886683,Johann Hollederer,H/Hollederer_Johann_1783_1847,76944.0
14419,http://www.wikidata.org/entity/Q55906299,Johann Hozhevar,H/Hozhevar_Johann_1829_1889,75923.0
14420,http://www.wikidata.org/entity/Q55847676,August Jaksch von Wartenhorst,J/Jaksch-Wartenhorst_August_1859_1932,75476.0
14421,http://www.wikidata.org/entity/Q55847680,Eduard Jalowetz,J/Jalowetz_Eduard_1862_1936,74726.0
14422,http://www.wikidata.org/entity/Q55906694,Fortunat Jeckel,J/Jeckel_Fortunat_1826_1905,75067.0
14423,http://www.wikidata.org/entity/Q55844320,Josef Kaerle,K/Kaerle_Josef_1802_1860,73772.0
14424,http://www.wikidata.org/entity/Q55892109,Joseph Kaltner,K/Kaltner_Josef_1757_1824,73423.0
14425,http://www.wikidata.org/entity/Q55847711,Josef Simon Kapferer,K/Kapferer_Josef-Simon_1778_1856,72845.0
14426,http://www.wikidata.org/entity/Q55907132,Philipp Kaserer,K/Kaserer_Philipp_1807_1879,72423.0
14427,http://www.wikidata.org/entity/Q55907683,Rudolf Kirchhoffer,K/Kirchhoffer_Rudolf_1817_1871,72006.0
14428,http://www.wikidata.org/entity/Q55907645,Alfons Kirchlechner,K/Kirchlechner_Alfons_1810_1875,72009.0
14429,http://www.wikidata.org/entity/Q55907478,Franjo Klaić,K/Klaic_Franjo_1819_1887,71564.0
14430,http://www.wikidata.org/entity/Q55907401,Raimund Klaus,K/Klaus_Raimund_1812_1838,71650.0
14431,http://www.wikidata.org/entity/Q55907793,Johann Felix Knaffl-Lenz,K/Knaffl-Lenz_Johann-Felix_1769_1845,70948.0
14432,http://www.wikidata.org/entity/Q55907732,Joseph Leonhard Knoll,K/Knoll_Joseph-Leonhard_1775_1841,70421.0
14433,http://www.wikidata.org/entity/Q55907789,Jurij Kobe,K/Kobe_Jurij_1807_1858,70518.0
14434,http://www.wikidata.org/entity/Q55907880,József Kolmár,K/Kolmar_Jozsef_1769_1835,69298.0
14435,http://www.wikidata.org/entity/Q55908060,Anton Komenda,K/Komenda_Anton_1795_1879,69371.0
14436,http://www.wikidata.org/entity/Q55908170,Anton Michael Koppensteiner,K/Koppensteiner_Anton-Michael_1787_1843,68893.0
14437,http://www.wikidata.org/entity/Q55909491,Anton Joseph Emanuel Kraus,K/Kraus-Elislago_Anton-Joseph_1777_1860,67827.0
14438,http://www.wikidata.org/entity/Q55847787,Karl Josef Kreutzberg,K/Kreutzberg_Karl-Josef_1802_1870,67552.0
14439,http://www.wikidata.org/entity/Q55854206,Josef Edler von Kühn,K/Kuehn_Josef_1833_1913,66676.0
14440,http://www.wikidata.org/entity/Q55847796,Carl Friedrich Kuhn,K/Kuhn_Carl-Friedrich_1807_1874,66025.0
14441,http://www.wikidata.org/entity/Q55844528,Marcus Conrad L’Allemand,L/Lallemand_Marcus-Conrad_1849_1913,65402.0
14442,http://www.wikidata.org/entity/Q55854462,August Lanzedelly,L/Lanzedelly_August_1845_1918,64570.0
14443,http://www.wikidata.org/entity/Q55854657,Franz Emil Leidesdorf,L/Leidesdorf_Franz-Emil_1821_1885,64021.0
14444,http://www.wikidata.org/entity/Q55855105,Hedwig von Liszt,L/Liszt_Hedwig_1866_1941,
14445,http://www.wikidata.org/entity/Q55855136,Josef Lobmeyr,L/Lobmeyr_Josef_1792_1855,93352.0
14446,http://www.wikidata.org/entity/Q55843198,Anton Manz von Mariensee,M/Manz-Mariensee_Anton_1757_1830,59539.0
14447,http://www.wikidata.org/entity/Q55843204,Eduard Martinak,M/Martinak_Eduard_1859_1943,59341.0
14448,http://www.wikidata.org/entity/Q55855836,Heinrich Martinak,M/Martinak_Heinrich_1826_1879,59344.0
14449,http://www.wikidata.org/entity/Q55855987,Theodor Ritter Mautner von Markhof,M/Mautner-Markhof_Theodor-August_1869_1947,
14450,http://www.wikidata.org/entity/Q55901760,Eduard Melly,M/Melly_Eduard_1814_1854,58174.0
14451,http://www.wikidata.org/entity/Q55914001,Leopold Michl,M/Michl_Leopold_1764_1843,57985.0
14452,http://www.wikidata.org/entity/Q55856740,Mayer Rachmiel von Mises,M/Mises_Majer-Jerachmiel_1801_1891,57004.0
14453,http://www.wikidata.org/entity/Q55844974,Bernhard Münz,M/Muenz_Bernhard_1857_1921,
14454,http://www.wikidata.org/entity/Q55845182,Ludwig Karl von Nadherny,N/Nadherny_Ludwig_1800_1867,
14455,http://www.wikidata.org/entity/Q55857724,Anna-Maria Neumann,N/Neumann_Anna-Maria_1790_1864,54962.0
14456,http://www.wikidata.org/entity/Q55900021,Josef Oberweis,O/Oberweis_Josef_1826_1870,53860.0
14457,http://www.wikidata.org/entity/Q55843297,Carl Pelz,P/Pelz_Karel_1845_1908,51470.0
14458,http://www.wikidata.org/entity/Q55858656,Otto Peterka,P/Peterka_Otto_1876_1945,51181.0
14459,http://www.wikidata.org/entity/Q7216516,Hirsch Mendel Pineles,P/Pineles_Hirsch-Mendel_1806_1870,50664.0
14460,http://www.wikidata.org/entity/Q55859027,Bernhard Pollack von Parnau,P/Polak-Parnau_Bernhard_1847_1911,49364.0
14461,http://www.wikidata.org/entity/Q55904571,Josef Praxmarer,P/Praxmarer_Josef_1820_1883,48745.0
14462,http://www.wikidata.org/entity/Q55895977,Gottlieb Putz,P/Putz_Gottlieb_1818_1886,47493.0
14463,http://www.wikidata.org/entity/Q55906193,Jakob Wilhelm Rauscher,R/Rauscher_Jakob_1800_1866,46879.0
14464,http://www.wikidata.org/entity/Q55910314,Henriette Rettich,R/Rettich_Henriette_1813_1854,45610.0
14465,http://www.wikidata.org/entity/Q55859757,Karl Nikolaus Richter,R/Richter_Karl-Nikolaus_1850_1910,45222.0
14466,http://www.wikidata.org/entity/Q55860120,Anton Leopold Roschmann,R/Roschmann-Hoerburg_Anton-Leopold_1777_1830,44759.0
14467,http://www.wikidata.org/entity/Q55900705,Johann von Susan,S_43/Susan_Johann_1796_1887,28749.0
14468,http://www.wikidata.org/entity/Q55860575,Friedrich Adalbert Sarg,S/Sarg_Friedrich-A_1804_1876,
14469,http://www.wikidata.org/entity/Q55848022,Otto Schäffler,S/Schaeffler_Theodor-Heinrich-Otto_1838_1928,42331.0
14470,http://www.wikidata.org/entity/Q55848028,Heinrich Scheu,S/Scheu_Heinrich_1845_1926,42185.0
14471,http://www.wikidata.org/entity/Q55846387,Franz Edler von Schmid,S/Schmid_Franz_1811_1884,40631.0
14472,http://www.wikidata.org/entity/Q55846403,Victor Schmid von Schmidsfelden,S/Schmid-Schmidsfelden_Victor-Johann-Bapt_1860_1915,41066.0
