oeblxmlname,awLabel,aw_url,instance_of,location,inception,creator,mainsubject,mainsubjectLabel,depicts,depictsLabel,madefrom,height,width
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102059,Gorgon,http://www.wikidata.org/entity/Q183670,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q654361,genius,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q180237,Typhon,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q8441,man,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102059,Gorgon,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q8441,man,http://www.wikidata.org/entity/Q183670,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q8441,man,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q654361,genius,http://www.wikidata.org/entity/Q183670,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q180237,Typhon,http://www.wikidata.org/entity/Q183670,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102059,Gorgon,http://www.wikidata.org/entity/Q183670,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q180237,Typhon,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q5309,215,3414
P/Pick_Georg-Alexander_1859_1942,Pick's theorem,,,,,,,,,,,,
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q8441,man,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q180237,Typhon,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102059,Gorgon,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q7307,kiss,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q296955,138,147
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102083,knight,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q897,138,147
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q1090,138,147
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q296955,138,147
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q897,138,147
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q1090,138,147
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q180237,Typhon,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q8441,man,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102059,Gorgon,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q929186,138,147
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q929186,138,147
H/Hauberrisser_Georg-Joseph_1841_1922,New Town Hall (Munich),,,http://www.wikidata.org/entity/Q445524,1909-01-01T00:00:00Z,,,,,,,,
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414
K/Koechel_Ludwig_1800_1877,Köchel catalogue,,,,,http://www.wikidata.org/entity/Q78529,,,,,,,
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q8441,man,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q12321255,138,147
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q12321255,138,147
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102059,Gorgon,http://www.wikidata.org/entity/Q5309,215,3414
H/Hitler_Adolf_1889_1945,Mein Kampf,,,,,,,,http://www.wikidata.org/entity/Q352,Adolf Hitler,,,
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q5309,215,3414
F/Freud_Sigmund_1856_1939,Three Essays on the Theory of Sexuality,,,,,,,,,,,,
L/Liszt_Franz_1811_1886,Hamlet,,,,,,,,,,,,
P/Petoefi_Sandor_1823_1849,Q466479,,,,,,,,,,,,
D/Doppler_Christian_1803_1853,Doppler effect,,,,,,,,,,,,
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q897,138,147
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q1090,138,147
B/Beethoven_Ludwig-Van_1770_1827,Symphony No. 9,,,,1824-01-01T00:00:00Z,,,,,,,,
S/Sacher-Masoch_Leopold_1836_1895,Venus in Furs,,,,1869-01-01T00:00:00Z,,,,,,,,
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q897,138,147
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q1090,138,147
C/Czuczor_Gregor_1800_1866,Q469376,,,,,,,,,,,,
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102059,Gorgon,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q7307,kiss,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102083,knight,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414
B/Beethoven_Ludwig-Van_1770_1827,Symphony No. 6,,,,1808-01-01T00:00:00Z,,,,,,,,
B/Beethoven_Ludwig-Van_1770_1827,Symphony No. 5,,,,1807-01-01T00:00:00Z,,,,,,,,
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q296955,138,147
B/Beethoven_Ludwig-Van_1770_1827,Fidelio,,,,1804-01-01T00:00:00Z,,,,,,,,
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q296955,138,147
B/Beethoven_Ludwig-Van_1770_1827,Symphony No. 3,,,,1803-01-01T00:00:00Z,,,,,,,,
B/Beethoven_Ludwig-Van_1770_1827,Für Elise,,,,1810-04-27T00:00:00Z,,,,,,,,
S/Sterk_Izidor_1860_1935,Gellért Baths,,,http://www.wikidata.org/entity/Q1799636,,,,,,,,,
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q7307,kiss,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102083,knight,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q12321255,138,147
P/Petoefi_Sandor_1823_1849,János Vitéz,,,,,,,,,,,,
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q12321255,138,147
E/Erkel_Ferenc_1810_1893,Himnusz,,,,,,,,,,,,
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q929186,138,147
B/Beethoven_Ludwig-Van_1770_1827,Piano Sonata No. 8,,,,1797-01-01T00:00:00Z,,,,,,,,
K/Klimt_Gustav_1862_1918,Portrait of Adele Bloch-Bauer I,,,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q929186,138,147
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q8441,man,http://www.wikidata.org/entity/Q5309,215,3414
B/Beethoven_Ludwig-Van_1770_1827,Piano Sonata No. 14,,,,1801-01-01T00:00:00Z,,,,,,,,
E/Erkel_Ferenc_1810_1893,Hunyadi László,,,,,,,,,,,,
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q7307,kiss,http://www.wikidata.org/entity/Q5309,215,3414
H/Hammerling_Rupert_1830_1889,Ahasver in Rom,,,,,,,,,,,,
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102083,knight,http://www.wikidata.org/entity/Q5309,215,3414
B/Beethoven_Ludwig-Van_1770_1827,Piano Sonata No. 23,,,,1804-01-01T00:00:00Z,,,,,,,,
B/Beethoven_Ludwig-Van_1770_1827,Piano Sonata No. 21,,,,1803-01-01T00:00:00Z,,,,,,,,
L/Lamberg-Sprinzenstein_Anton-Franz-De-Paula_1740_1822,Academy of Fine Arts Vienna,,,,1692-01-01T00:00:00Z,,,,,,,,
M/Moser_Koloman_1868_1918,Q17493113,,,http://www.wikidata.org/entity/Q23402,1906-01-01T00:00:00Z,http://www.wikidata.org/entity/Q45055,,,,,http://www.wikidata.org/entity/Q1169888,41.5,77.4
