"select ?z ?y
where
{?z dc:creator ""Gustav Klimt""@de .
?z dc:title ?y.
}
LIMIT 500",205 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav""@en .
?z dc:title ?y.
}
LIMIT 500",9 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav"".
?z dc:title ?y.
}
LIMIT 500",8 results,"select ?z ?y 
where
{?z dc:creator ""Gustav Klimt"".
?z dc:title ?y.
}
LIMIT 500",23 results
http://data.europeana.eu/proxy/provider/15508/23669,"""Sitzender männlicher Rückenakt (Studie für die 1903 gezeigte Fassung von Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23670,"""Zwei Ringerpaare, Detailstudie (Studie für die Übertragungsskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23671,"""Schlafendes Kind (Studie für Die drei Lebensalter)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23672,"""Zwei Studien eines stehenden Aktes (Studien für die Ölskizze für Medizin, Deckengemälde der Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23673,"""Ringende Männer (Studie für die Übertragungsskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23674,"""Schwebende mit einem hängenden und einem ausgestreckten Arm  (Studie für die Ölskizze für Medizin, Deckengemälde der Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23675,"""Zwei Studien eines stehenden  Aktes mit ausgestrecktem Arm (Studie für ""Medizin"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23676,"""Stehender männlicher Rückenakt (Studie für ""Philosophie"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23677,"""Sitzender männlicher Rückenakt (Studie für ""Medizin""), Elefant, Aesculap""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23678,"""Stehende Frau mit ausgestrecktem Arm (Studie für ""Medizin"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23679,"""Schwebender Männerakt in Unteransicht (Früheste Studie für Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23680,"""Kniestück eines mit langem Gewand bekleideten Skeletts (Studie für Die Hoffnung I)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23681,"""Aufgestützt sitzender weiblicher Akt, zwei ringende Männer (Studien für ""Medizin"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23682,"""Mit langem Gewand bekleidetes Skelett (Studie für Die Hoffnung I)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/26428,"""Mädchenkopf nach links""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/26429,"""Weiblicher Kopf im Dreiviertelprofil""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/26751,"""Liegende Mänade (Studie für Altar des Dionysos, Lünette im südlichen Stiegenhaus des Wiener Burgtheaters)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/27923,"""Kopf eines liegenden Mannes (Studie für Theater in Taormina, Deckenbild im nördlichen Stiegenhaus des Wiener Burgtheaters)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/27924,"""Mann in Dreiviertelansicht (Studie für Theater Shakespeares, Deckenbild im südlichen Stiegenhaus des Wiener Burgtheaters)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/27925,"""Mann mit Mütze im Profil (Studie für Theater Shakespeares, Deckenbild im südlichen Stiegenhaus des Wiener Burgtheaters)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/27926,"""Mann mit Bart und Mütze im verlorenen Profil (Studie für Theater Shakespeares, Deckenbild im südlichen Stiegenhaus des Wiener Burgtheaters)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/27927,"""Liegender junger Mann (Romeo) und Mann im verlorenen Profil (Studie für Theater Shakespeares, Deckenbild im südlichen Stiegenhaus des Wiener Burgtheaters)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/27928,"""Zwei Skizzen eines Herrn mit Theaterglas (Studien für Zuschauerraum des alten Burgtheaters)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/27929,"""Knabe im verlorenen Profil (Studie für Theater Shakespeares, Deckenbild im südlichen Stiegenhaus des Wiener Burgtheaters)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/27930,"""Liegendes Mädchen (Julia) und zwei Handstudien (Studie für Theater Shakespeares, Deckenbild im südlichen Stiegenhaus des Wiener Burgtheaters)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/GE408DL,"""Silberfische (Nixen, Sirenen)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29545,"""Übertragungsskizze für Medizin, Deckengemälde für die Wiener Universitätsaula""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29731,"""Stehende etwas nach links (Studie für das Bildnis Paula Zuckerkandl)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29732,"""Stehende Dame, die Hand auf einem Sessel ruhend (Studie für das Bildnis Paula Zuckerkandl)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29733,"""Stehende im Mantel (Studie für das Bildnis Paula Zuckerkandl)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29734,"""Stehende mit Umhang (Studie für das Bildnis Margarethe Stonborough-Wittgenstein)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29735,"""Stehende mit ineinandergelegten Händen (Studie für das Bildnis Margarethe Stonborough-Wittgenstein)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29736,"""Stehende mit herabhängenden Armen (Studie für das Bildnis Margarethe Stonborough-Wittgenstein)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29737,"""Gesenkter Männerkopf (Studie für Tod und Leben)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29776,"""Sitzender Halbakt (Studie für Judith II [Salome])""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29840,"""Liegender Halbakt, die Arme hinter dem Kopf verschränkt""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29841,"""Sitzende mit Hand am Kinn (Studie für ein nicht ausgeführtes Bildnis von Magda Mautner von Markhof)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29842,"""Stehende mit leicht nach links gewendetem Kopf (Studie für das Bildnis Margarethe Stonborough-Wittgenstein)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29843,"""Stehendes Liebespaar in Seitenansicht""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29844,"""Stehender Akt einer Schwangeren (Studie für ""Hoffnung II"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29845,"""Zwei stehende Männerakte, der rechte stützt sich auf die Schulter seines Gegenübers""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/29846,"""Männerakt im Profil, mit Last im Nacken""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30213,"""Zwei Liegende (Studie für Wasserschlangen II, 2. Zustand)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30246,"""Stehende im Mantel (Studie für das Bildnis Paula Zuckerkandl)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30247,"""Stehender weiblicher Rückenakt (Studie für ""Die Jungfrau"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30248,"""Frauenkopf von vorne""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30249,"""Sitzende mit ineinandergelegten Händen (Studie für das Bildnis Amalie Zuckerkandl)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30253,"""Brustbild einer Frau""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/30443,"""Stehendes Mädchen im Mantel  (Studie für das Bildnis Mäda Primavesi)""@de",,,,,,
