item,itemLabel,oeblid
http://www.wikidata.org/entity/Q62046,Franz von Paula Schrank,S/Schrank_Franz-De-Paula_1747_1835
http://www.wikidata.org/entity/Q74612,Árpád Tamásy von Fogaras,T/Tamasy-Fogaras_Arpad_1861_1939
http://www.wikidata.org/entity/Q64625,Nikolaus Graf von Üxküll-Gyllenband,U/Uexkuell-Gyllenband_Nikolaus_1877_1944
http://www.wikidata.org/entity/Q79002,Irene Abendroth,A/Abendroth_Irene_1872_1932
http://www.wikidata.org/entity/Q78807,Theodor Baillet de Latour,B/Baillet-Latour_Theodor_1780_1848
http://www.wikidata.org/entity/Q94071,Richard Batka,B/Batka_Richard_1868_1922
http://www.wikidata.org/entity/Q78782,Cesare Battisti,B/Battisti_Cesare_1875_1916
http://www.wikidata.org/entity/Q78865,Eduard von Bauernfeld,B/Bauernfeld_Eduard_1802_1890
http://www.wikidata.org/entity/Q78741,Max Wladimir von Beck,B/Beck_Max-Wladimir_1854_1943
http://www.wikidata.org/entity/Q96341,Friedrich Beckmann,B/Beckmann_Friedrich_1803_1866
http://www.wikidata.org/entity/Q78617,Richard Belcredi,B/Belcredi_Richard_1823_1902
http://www.wikidata.org/entity/Q94092,Hans Benndorf,B/Benndorf_Hans_1870_1953
http://www.wikidata.org/entity/Q85204,Artur Berger,B/Berger_Artur_1892_1981
http://www.wikidata.org/entity/Q86983,Johann Nepomuk Berger,B/Berger_Johann-Nepomuk_1816_1870
http://www.wikidata.org/entity/Q87687,Hermann Ignaz Bidermann,B/Biedermann_Hermann-Ignaz_1831_1892
http://www.wikidata.org/entity/Q78820,Marianne Brandt,B/Brandt_Marianne_1842_1921
http://www.wikidata.org/entity/Q85219,Friedrich Moritz Brauer,B/Brauer_Friedrich-Moritz_1832_1904
http://www.wikidata.org/entity/Q85584,Richard Buchta,B/Buchta_Richard_1845_1894
http://www.wikidata.org/entity/Q79001,Karl Ferdinand von Buol-Schauenstein,B/Buol-Schauenstein_Karl-Ferdinand_1797_1865
http://www.wikidata.org/entity/Q84876,Franz Chvostek senior,C/Chvostek_Franz_1835_1884
http://www.wikidata.org/entity/Q78852,Manfred von Clary und Aldringen,C/Clary-Aldringen_Manfred_1852_1928
http://www.wikidata.org/entity/Q90199,Wenzel Joseph von Colloredo,C/Colloredo-Mels-Wallsee_Wenzel-Joseph_1738_1822
http://www.wikidata.org/entity/Q85826,Ignaz Czapka,C/Czapka-Winstetten_Ignaz_1791_1881
http://www.wikidata.org/entity/Q78560,Ottokar Czernin,C/Czernin_Ottokar_1872_1932
http://www.wikidata.org/entity/Q78781,Viktor Dankl von Krasnik,D/Dankl-Krasnik_Viktor_1854_1941
http://www.wikidata.org/entity/Q86296,Jakob Degen,D/Degen_Jakob_1756_1848
http://www.wikidata.org/entity/Q97522,Max Devrient,D/Devrient_Max_1857_1929
http://www.wikidata.org/entity/Q94065,Karl Diener,D/Diener_Carl_1862_1928
http://www.wikidata.org/entity/Q78914,Alfred von Domaszewski,D/Domaszewski_Alfred_1856_1927
http://www.wikidata.org/entity/Q86525,Helene von Druskowitz,D/Druskowitz_Helene_1856_1918
http://www.wikidata.org/entity/Q92301,Eduard Duller,D/Duller_Eduard_1809_1853
http://www.wikidata.org/entity/Q85144,Albert Ehrhard,E/Ehrhard_Albert-Josef-Maria_1862_1940
http://www.wikidata.org/entity/Q84774,Gustav von Escherich,E/Escherich_Gustav_1849_1935
http://www.wikidata.org/entity/Q87887,Bernhard von Eskeles,E/Eskeles_Bernhard_1753_1839
http://www.wikidata.org/entity/Q84548,Siegmund Exner-Ewarten,E/Exner-Ewarten_Siegmund_1846_1926
http://www.wikidata.org/entity/Q90215,Joseph Feßler,F/Fessler_Josef_1813_1872
http://www.wikidata.org/entity/Q87173,Heinrich Friedjung,F/Friedjung_Heinrich_1851_1920
http://www.wikidata.org/entity/Q88737,Emanuel von Friedrichsthal,F/Friedrichsthal_Emanuel_1809_1842
http://www.wikidata.org/entity/Q84994,Theodor von Frimmel,F/Frimmel-Traisenau_Theodor_1853_1928
http://www.wikidata.org/entity/Q78606,Robert Fuchs,F/Fuchs_Robert_1847_1927
http://www.wikidata.org/entity/Q90019,Otto von Fürth,F/Fuerth_Otto_1867_1938
http://www.wikidata.org/entity/Q87737,Leopold Gegenbauer,G/Gegenbauer_Leopold_1849_1903
http://www.wikidata.org/entity/Q89736,Hubert Gessner,G/Gessner_Hubert_1871_1943
http://www.wikidata.org/entity/Q84612,Wladimir Giesl von Gieslingen,G/Giesl-Gieslingen_Wladimir_1860_1936
http://www.wikidata.org/entity/Q85526,Julius Wilhelm Gintl,G/Gintl_Wilhelm-Julius_1804_1883
http://www.wikidata.org/entity/Q94672,Julius Anton Glaser,G/Glaser_Julius_1831_1885
http://www.wikidata.org/entity/Q78504,Ernst Gombrich,G/Gombrich_Ernst-Hans_1909_2001
http://www.wikidata.org/entity/Q89648,Max von Gomperz,G/Gomperz_Max_1822_1913
http://www.wikidata.org/entity/Q89400,Spiridon Gopčević,G/Gopcevic_Spiridon_1855_1909
http://www.wikidata.org/entity/Q89724,Ernst Gotthilf,G/Gotthilf-Miskolczy_Ernst_1865_
http://www.wikidata.org/entity/Q85237,Kasimir Graff,G/Graff_Kasimir-Romuald_1878_1950
http://www.wikidata.org/entity/Q87953,Bruno Granichstaedten,G/Granichstaedten_Bruno_1879_1944
http://www.wikidata.org/entity/Q88353,Karl Ludwig von Grünne,G/Gruenne_Karl_1808_1884
http://www.wikidata.org/entity/Q84832,Michael Haberlandt,H/Haberlandt_Michael_1860_1940
http://www.wikidata.org/entity/Q84552,Hans Hahn,H/Hahn_Hans_1879_1934
http://www.wikidata.org/entity/Q89546,Joseph von Hammer-Purgstall,H/Hammer-Purgstall_Joseph_1774_1856
http://www.wikidata.org/entity/Q84996,Karl Heider,H/Heider_Karl_1856_1935
http://www.wikidata.org/entity/Q86345,Johann Florian Heller,H/Heller_Johann-Florian_1813_1871
http://www.wikidata.org/entity/Q94302,Emanuel Herrmann,H/Herrmann_Emanuel_1839_1902
http://www.wikidata.org/entity/Q79034,Ernst von Hesse-Wartegg,H/Hesse-Wartegg_Ernst_1854_1918
http://www.wikidata.org/entity/Q88925,Carl von Hock,H/Hock_Carl_1808_1869
http://www.wikidata.org/entity/Q84689,Rudolf Hoernes,H/Hoernes_Rudolf_1850_1912
http://www.wikidata.org/entity/Q84932,Guido Holzknecht,H/Holzknecht_Guido_1872_1931
http://www.wikidata.org/entity/Q78684,Josef Hyrtl,H/Hyrtl_Josef_1810_1894
http://www.wikidata.org/entity/Q90108,Sepp Innerkofler,I/Innerkofler_Sepp_1865_1915
http://www.wikidata.org/entity/Q78990,Joseph Franz von Jacquin,J/Jacquin_Joseph-Franz_1766_1839
http://www.wikidata.org/entity/Q87177,Friedrich Jäger von Jaxtthal,J/Jaeger-Jaxthal_Friedrich_1784_1871
http://www.wikidata.org/entity/Q87026,Anton von Jaksch,J/Jaksch-Wartenhorst_Anton_1810_1887
http://www.wikidata.org/entity/Q88044,Oskar Jellinek,J/Jellinek_Oskar_1886_1949
http://www.wikidata.org/entity/Q95203,Jan Pětr Jordan,J/Jordan_Jan-Petr_1818_1891
http://www.wikidata.org/entity/Q78473,Ernst Kaltenbrunner,K/Kaltenbrunner_Ernst_1903_1946
http://www.wikidata.org/entity/Q88839,Berta Karlik,K/Karlik_Berta-Emilie_1904_1990
http://www.wikidata.org/entity/Q87425,Friedrich Katzer,K/Katzer_Friedrich_1861_1925
http://www.wikidata.org/entity/Q78746,Anton Kerner von Marilaun,K/Kerner-Marilaun_Anton_1831_1898
http://www.wikidata.org/entity/Q78544,Hermann Kövess von Kövesshaza,K/Koevess-Koevesshaza_Hermann_1854_1924
http://www.wikidata.org/entity/Q87049,Theodor Kohn,K/Kohn_Theodor_1845_1915
http://www.wikidata.org/entity/Q84585,Carl Koller,K/Koller_Karl_1857_1944
http://www.wikidata.org/entity/Q86937,Rudolf Kraus,K/Kraus_Rudolf_1868_1932
http://www.wikidata.org/entity/Q165756,Simon Hollósy,H/Hollosy_Simon_1857_1918
http://www.wikidata.org/entity/Q176445,Alois Klar,K/Klar_Alois_1763_1833
http://www.wikidata.org/entity/Q178230,Johann Rufinatscha,R/Rufinatscha_Johann_1812_1893
http://www.wikidata.org/entity/Q163993,Josef Slavík,S/Slavik_Josef_1806_1833
http://www.wikidata.org/entity/Q168542,Adalbert Stifter,S/Stifter_Adalbert_1805_1868
http://www.wikidata.org/entity/Q194856,Julius Weber,W/Weber_Julius_1880_1942
http://www.wikidata.org/entity/Q213765,Ignaz Aurelius Feßler,F/Fessler_Ignaz-Aurel_1756_1839
http://www.wikidata.org/entity/Q216135,Hans Habe,H/Habe_Hans_1911_1977
http://www.wikidata.org/entity/Q214375,Richard Hönigswald,H/Hoenigswald_Richard_1875_1947
http://www.wikidata.org/entity/Q206133,Hugo Schuchardt,S/Schuchardt_Hugo_1842_1927
http://www.wikidata.org/entity/Q210285,David Schwarz,S/Schwarz_David_1850_1897
http://www.wikidata.org/entity/Q216058,Joseph Tichatschek,T/Tichatschek_Joseph-Alois_1807_1886
http://www.wikidata.org/entity/Q202106,Mutius von Tommasini,T/Tommasini_Muzio-Giuseppe_1794_1879
http://www.wikidata.org/entity/Q215869,Ralph Erwin,V/Vogl_Erwin_1896_1943
http://www.wikidata.org/entity/Q225315,Viktor Urbantschitsch,U/Urbantschitsch_Viktor_1847_1921
http://www.wikidata.org/entity/Q233074,Mary Vetsera,V/Vetsera_Maria-Alexandrine_1871_1889
http://www.wikidata.org/entity/Q252311,Farkas Bolyai,B/Bolyai-Bolya_Wolfgang_1775_1856
http://www.wikidata.org/entity/Q262637,Samo Chalupka,C/Chalupka_Samo_1812_1883
http://www.wikidata.org/entity/Q246354,Ágost Greguss,G/Greguss_Agost_1825_1882
http://www.wikidata.org/entity/Q266415,Isidor Kaufmann,K/Kaufmann_Isidor_1853_1921
http://www.wikidata.org/entity/Q246759,Josef Kupka,K/Kupka_Josef_1862_1941
http://www.wikidata.org/entity/Q264381,Jovan Pačić,P/Pacic_Jovan_1771_1849
http://www.wikidata.org/entity/Q282047,Károly Keleti,K/Keleti_Karoly_1833_1892
http://www.wikidata.org/entity/Q293171,Maria Theresia von Paradis,P/Paradis_Maria-Theresia_1759_1824
http://www.wikidata.org/entity/Q279397,István Széchenyi,S/Szechenyi-Sarvar-Felsoevidek_Istvan_1791_1860
http://www.wikidata.org/entity/Q281577,Christian Ulrich,U/Ulrich_Christian_1836_1909
http://www.wikidata.org/entity/Q275513,Olga Wisinger-Florian,W/Wisinger-Florian_Olga_1844_1926
http://www.wikidata.org/entity/Q304321,Clementina Katona,A/Abranyi-Laszlofalva-Mikefoeld_Clementin_1856_1932
http://www.wikidata.org/entity/Q317919,Ludwig Kasper,K/Kasper_Ludwig_1893_1945
http://www.wikidata.org/entity/Q294065,Ödön Lechner,L/Lechner_Oedoen_1845_1914
http://www.wikidata.org/entity/Q317016,Johann II.,L/Liechtenstein_Johann-II_1840_1929
http://www.wikidata.org/entity/Q302590,Joseph Johann von Littrow,L/Littrow_Joseph-Johann_1781_1840
http://www.wikidata.org/entity/Q312985,Richard Réti,R/Reti_Richard_1889_1929
http://www.wikidata.org/entity/Q314005,Christian Ruben,R/Ruben_Christian_1805_1875
http://www.wikidata.org/entity/Q310431,Franz von Suppè,S_43/Suppe_Franz_1819_1895
http://www.wikidata.org/entity/Q312700,Josef Suk,S/Suk_Josef_1874_1935
http://www.wikidata.org/entity/Q310431,Franz von Suppè,S/Suppe_Franz_1819_1895
http://www.wikidata.org/entity/Q318907,Leopold Leonhard von Thun und Hohenstein,T/Thun-Hohenstein_Leopold-Leonhard_1748_1826
http://www.wikidata.org/entity/Q324318,Joseph von Führich,F/Fuehrich_Josef_1800_1876
http://www.wikidata.org/entity/Q328710,Heinrich Grünfeld,G/Gruenfeld_Heinrich_1855_1931
http://www.wikidata.org/entity/Q320612,Imre Henszlman,H/Henszlmann_Emerich_1813_1888
http://www.wikidata.org/entity/Q331047,Adolf Hirémy-Hirschl,H/Hiremy-Hirschl_Adolf_1860_1933
http://www.wikidata.org/entity/Q330244,Alfred Jaell,J/Jaell_Alfred_1832_1882
http://www.wikidata.org/entity/Q337528,Wilhelm Jahn,J/Jahn_Wilhelm_1835_1900
http://www.wikidata.org/entity/Q319764,Joseph von Österreich,J/Joseph_Anton-Johann_1776_1847
http://www.wikidata.org/entity/Q326446,Antonín Klášterský,K/Klastersky_Antonin_1866_1938
http://www.wikidata.org/entity/Q344599,Antun Mahnić,M/Mahnic_Anton_1850_1920
http://www.wikidata.org/entity/Q338862,Joseph von Spaun,S/Spaun_Josef_1788_1865
http://www.wikidata.org/entity/Q329068,Jan Stefani,S/Stefani_Jan_1746_1829
http://www.wikidata.org/entity/Q344027,Václav Thám,T/Tham_Vaclav_1765_1816
http://www.wikidata.org/entity/Q336493,István Tisza,T/Tisza-Borosjenoe-Szeged_Istvan_1861_1918
http://www.wikidata.org/entity/Q333972,Ignaz Trebitsch-Lincoln,T/Trebitsch-Lincoln_Ignatius-Timothy_1879_1943
http://www.wikidata.org/entity/Q350993,Gustav Bickell,B/Bickell_Gustav-Wilhelm-Hugo_1838_1906
http://www.wikidata.org/entity/Q348863,Adam Brenner,B/Brenner_Adam_1800_1891
http://www.wikidata.org/entity/Q371286,András Dugonics,D/Dugonics_Andreas_1740_1818
http://www.wikidata.org/entity/Q347305,Adalbert Dungel,D/Dungel_Adalbert_1842_1923
http://www.wikidata.org/entity/Q372551,János Fogarasi,F/Fogarasi_Johann_1801_1878
http://www.wikidata.org/entity/Q365071,Adolfo Fumagalli,F/Fumagalli_Adolfo_1828_1865
http://www.wikidata.org/entity/Q361938,Adolf Grohmann,G/Grohmann_Adolf_1825_1895
http://www.wikidata.org/entity/Q364774,Adolf von Guttenberg,G/Guttenberg_Adolf_1839_1917
http://www.wikidata.org/entity/Q347384,Adalbert Gyrowetz,G/Gyrowetz_Adalbert_1763_1850
http://www.wikidata.org/entity/Q347096,Ferdinand Kauer,K/Kauer_Ferdinand_1751_1831
http://www.wikidata.org/entity/Q362952,Adolf Klein,K/Klein_Adolf_1847_1931
http://www.wikidata.org/entity/Q371740,Hans Koessler,K/Koessler_Hans_1853_1926
http://www.wikidata.org/entity/Q363097,Adolf Lang,L/Lang_Adolf_1823_1897
http://www.wikidata.org/entity/Q363462,Adolf Müller junior,M/Mueller_Adolf_1839_1901
http://www.wikidata.org/entity/Q367661,Paul Neumann,N/Neumann-Heilwart_Paul_1875_1932
http://www.wikidata.org/entity/Q363505,Adolf Odkolek von Újezd,O/Odkolek-Ujezd_Adolf_1854_1917
http://www.wikidata.org/entity/Q371556,Władysław Sadłowski,S/Sadlowski_Wladyslaw_1869_1940
http://www.wikidata.org/entity/Q364102,Adolf Schimon,S/Schimon_Adolf_1820_1887
http://www.wikidata.org/entity/Q347678,Adalbert Seligmann,S/Seligmann_Adalbert-Franz_1862_1945
http://www.wikidata.org/entity/Q347735,Adalbert Wolf,W/Wolf_Adalbert_1879_1950
http://www.wikidata.org/entity/Q380506,Aleksander Fredro,F/Fredro_Aleksander_1793_1876
http://www.wikidata.org/entity/Q374674,Ignaz Goldziher,G/Goldzieher_Ignaz_1850_1921
http://www.wikidata.org/entity/Q417976,Akiba Eisenberg,E/Eisenberg_Akiba_1908_1983
http://www.wikidata.org/entity/Q422668,Carl Roesner,R/Roesner_Karl_1804_1869
http://www.wikidata.org/entity/Q434601,Franz Schmidt,S/Schmid_Franz_1874_1939
http://www.wikidata.org/entity/Q460211,Albert von Apponyi,A/Apponyi_Albert_1846_1933
http://www.wikidata.org/entity/Q448912,Alexander von Bach,B/Bach_Alexander_1813_1893
http://www.wikidata.org/entity/Q451836,Leopoldine Blahetka,B/Blahetka_Marie-Leopoldine_1810_1885
http://www.wikidata.org/entity/Q446711,Friedrich von Österreich-Teschen,F/Friedrich_Maria-Albrecht_1856_1936
http://www.wikidata.org/entity/Q448799,Magdalena Dobromila Rettigová,R/Rettigova_Magdalena-Dobromila_1785_1845
http://www.wikidata.org/entity/Q453087,Amalie Schütz,S/Schuetz_Amalie_1803_1852
http://www.wikidata.org/entity/Q455008,Alfred I. zu Windisch-Graetz,W/Windisch-Graetz_Alfred-Candidus-Ferdinand_1787_1862
http://www.wikidata.org/entity/Q470673,Anton Dominik von Fernkorn,F/Fernkorn_Anton-Dominik_1813_1878
http://www.wikidata.org/entity/Q471288,Amilcare Paulucci,P/Paulucci-Roncole_Hamilcar_1773_1845
http://www.wikidata.org/entity/Q501379,Andreas von Baumgartner,B/Baumgartner_Andreas_1793_1865
http://www.wikidata.org/entity/Q514358,Giacomo Bresadola,B/Bresadola_Giacomo_1847_1929
http://www.wikidata.org/entity/Q513185,Franz Xaver Gruber,G/Gruber_Franz-Xaver_1787_1863
http://www.wikidata.org/entity/Q502867,Andrej Karlin,K/Karlin_Andrej_1857_1933
http://www.wikidata.org/entity/Q515684,Anton Korošec,K/Korosec_Anton_1872_1940
http://www.wikidata.org/entity/Q499274,Andreas Leykam,L/Leykam_Andreas_1752_1826
http://www.wikidata.org/entity/Q521014,Elek Benedek,B/Benedek-Kisbaczon_Elek_1859_1929
http://www.wikidata.org/entity/Q528612,Auguste von Littrow,L/Littrow_Auguste_1819_1890
http://www.wikidata.org/entity/Q542959,Heinrich Maier,M/Maier_Heinrich_1908_1945
http://www.wikidata.org/entity/Q527997,Franz Nopcsa,N/Nopcsa-Felsoeszilvas_Franz_1877_1933
http://www.wikidata.org/entity/Q523418,Maria Scholz,S/Scholz_Marie_1861_1944
http://www.wikidata.org/entity/Q546355,Antonie Adamberger,A/Adamberger_Antonie_1790_1867
http://www.wikidata.org/entity/Q554665,Aristides Brezina,B/Brezina_Aristides_1848_1909
http://www.wikidata.org/entity/Q555907,Ludwig August Frankl von Hochwart,F/Frankl-Hochwart_Ludwig-August_1810_1894
http://www.wikidata.org/entity/Q87788,Friedrich Kriehuber,K/Kriehuber_Friedrich_1834_1871
http://www.wikidata.org/entity/Q87022,Karl Friedrich von Kübeck,K/Kuebeck-Kuebau_Karl-Friedrich_1780_1855
http://www.wikidata.org/entity/Q86419,Ignaz Kuranda,K/Kuranda_Ignaz_1811_1884
http://www.wikidata.org/entity/Q85815,Adolf Kurrein,K/Kurrein_Adolf_1846_1919
http://www.wikidata.org/entity/Q94538,Simon von Lämel,L/Laemel_Simon_1766_1845
http://www.wikidata.org/entity/Q79040,Oskar Lenz,L/Lenz_Oskar_1848_1925
http://www.wikidata.org/entity/Q88725,Lina Loos,L/Loos_Lina_1884_1950
http://www.wikidata.org/entity/Q96225,Siegmund Mayer,M/Maier_Siegmund_1842_1910
http://www.wikidata.org/entity/Q78108,Julius Meier-Graefe,M/Maier-Graefe_Julius_1867_1935
http://www.wikidata.org/entity/Q86460,Johann Malfatti,M/Malfatti-Monteregio_Johann_1775_1859
http://www.wikidata.org/entity/Q79128,Robert Martinek,M/Martinek_Robert_1889_1944
http://www.wikidata.org/entity/Q88953,Emil Marriot,M/Mataja_Emilie_1855_1938
http://www.wikidata.org/entity/Q84177,Carl Menger,M/Menger_Karl_1840_1921
http://www.wikidata.org/entity/Q86333,Anna Milder-Hauptmann,M/Milder-Hauptmann_Anna-Pauline_1785_1838
http://www.wikidata.org/entity/Q88197,Rudolf Much,M/Much_Rudolf_1862_1936
http://www.wikidata.org/entity/Q78836,Alois Negrelli von Moldelbe,N/Negrelli-Moldelbe_Alois_1799_1858
http://www.wikidata.org/entity/Q78938,Wilhelmine Neruda,N/Neruda_Wilma_1839_1911
http://www.wikidata.org/entity/Q87937,Gustav Niessl von Mayendorf,N/Niessl-Mayendorf_Gustav_1839_1919
http://www.wikidata.org/entity/Q93931,Guido Novak von Arienti,N/Novak-Arienti_Guido_1859_1928
http://www.wikidata.org/entity/Q86629,Samuel Oppenheim,O/Oppenheim_Samuel_1857_1928
http://www.wikidata.org/entity/Q85376,Franz Seraph von Orsini-Rosenberg,O/Orsini-Rosenberg_Franz_1761_1832
http://www.wikidata.org/entity/Q88529,Carl Paal,P/Paal_Karl_1860_1935
http://www.wikidata.org/entity/Q94361,Otto Pick,P/Pick_Otto_1887_1940
http://www.wikidata.org/entity/Q79153,Charles Sealsfield,P/Postl_Karl_1793_1864
http://www.wikidata.org/entity/Q78830,Georg Prochaska,P/Prochaska_Georg_1749_1820
http://www.wikidata.org/entity/Q87116,Marie Renard,R/Renard_Marie_1863_1939
http://www.wikidata.org/entity/Q89237,August Emanuel von Reuss,R/Reuss_August-Emanuel_1811_1873
http://www.wikidata.org/entity/Q89883,Frida Richard,R/Richard_Frieda_1873_1946
http://www.wikidata.org/entity/Q84530,Edmund Rumpler,R/Rumpler_Edmund_1872_1940
http://www.wikidata.org/entity/Q88951,Alois Rzach,R/Rzach_Alois_1850_1935
http://www.wikidata.org/entity/Q88418,Mathilde Sussin,S_43/Sussin_Mathilde_1876_1943
http://www.wikidata.org/entity/Q87553,Arthur Gundaccar von Suttner,S_43/Suttner_Arthur-Gundaccar_1850_1902
http://www.wikidata.org/entity/Q90564,Joseph Sablatnig,S/Sablatnig_Josef_1886_1945
http://www.wikidata.org/entity/Q88286,Anna Sacher,S/Sacher_Anna_1859_1930
http://www.wikidata.org/entity/Q88262,Hubert Sattler,S/Sattler_Hubert_1844_1928
http://www.wikidata.org/entity/Q89463,Joseph Schalk,S/Schalk_Josef_1857_1900
http://www.wikidata.org/entity/Q90090,Karl Schenkl,S/Schenkl_Karl_1827_1900
http://www.wikidata.org/entity/Q89540,Erwin Schulhoff,S/Schulhoff_Erwin_1894_1942
http://www.wikidata.org/entity/Q79035,Ernestine Schumann-Heink,S/Schumann-Heink_Ernestine_1861_1936
http://www.wikidata.org/entity/Q78477,Joseph Schumpeter,S/Schumpeter_Joseph-Alois_1883_1950
http://www.wikidata.org/entity/Q86031,Anton Maria Schwartz,S/Schwartz_Anton-Maria_1852_1929
http://www.wikidata.org/entity/Q78744,Ernst Seidler von Feuchtenegg,S/Seidler-Feuchtenegg_Ernst_1862_1931
http://www.wikidata.org/entity/Q87347,Johann Kaspar von Seiller,S/Seiller_Johann-Kaspar_1802_1888
http://www.wikidata.org/entity/Q78720,Ignaz Seipel,S/Seipel_Ignaz_1876_1932
http://www.wikidata.org/entity/Q85766,Friedrich Siebenrock,S/Siebenrock_Friedrich_1853_1925
http://www.wikidata.org/entity/Q87769,Ernst Emanuel von Silva-Tarouca,S/Silva-Tarouca_Ernst-Emanuel_1860_1936
http://www.wikidata.org/entity/Q94346,Zdenko Hans Skraup,S/Skraup_Zdenko-Hans_1850_1910
http://www.wikidata.org/entity/Q78586,Leo Slezak,S/Slezak_Leo_1873_1946
http://www.wikidata.org/entity/Q90021,Joseph Späth,S/Spaeth_Josef_1823_1896
http://www.wikidata.org/entity/Q79151,Othmar Spann,S/Spann_Othmar_1878_1950
http://www.wikidata.org/entity/Q84516,Franz Seraph von Stadion,S/Stadion-Warthausen_Franz_1806_1853
http://www.wikidata.org/entity/Q78676,Johann Philipp von Stadion,S/Stadion-Warthausen_Johann-Philipp-Karl_1763_1824
http://www.wikidata.org/entity/Q85054,Fanny Starhemberg,S/Starhemberg_Franziska_1875_1943
http://www.wikidata.org/entity/Q89285,Maximilian Steiner,S/Steiner_Maximilian_1830_1880
http://www.wikidata.org/entity/Q87045,Martin Stephan,S/Stephan_Martin_1777_1846
http://www.wikidata.org/entity/Q88418,Mathilde Sussin,S/Sussin_Mathilde_1876_1943
http://www.wikidata.org/entity/Q90132,Karl Tersztyánszky von Nádas,T/Tersztyanszky-Nadas_Karl_1854_1921
http://www.wikidata.org/entity/Q96678,Georg Daniel Teutsch,T/Teutsch_Georg-Daniel_1817_1893
http://www.wikidata.org/entity/Q78802,Johann Amadeus Franz von Thugut,T/Thugut_Franz-Maria_1736_1818
http://www.wikidata.org/entity/Q88523,Oswald von Thun und Hohenstein,T/Thun-Hohenstein-Salm-Reifferscheid_Oswald_1849_1913
http://www.wikidata.org/entity/Q94623,Emilie Turecek,T/Turecek_Emilie_1848_1889
http://www.wikidata.org/entity/Q78530,Viktor Ullmann,U/Ullmann_Viktor-Josef_1898_1944
http://www.wikidata.org/entity/Q84287,Otto Wagner,W/Wagner_Otto-Koloman_1841_1918
http://www.wikidata.org/entity/Q79184,Heinrich Wawra von Fernsee,W/Wawra-Fernsee_Heinrich-Blasius_1831_1887
http://www.wikidata.org/entity/Q88280,Franz Xaver Weninger,W/Weninger_Franz-Xaver_1805_1888
http://www.wikidata.org/entity/Q86958,Karl Werner,W/Werner_Karl_1821_1888
http://www.wikidata.org/entity/Q84894,Anton Wildgans,W/Wildgans_Anton_1881_1932
http://www.wikidata.org/entity/Q87526,Rudolf Wlassak,W/Wlassak_Rudolf_1865_1930
http://www.wikidata.org/entity/Q112316,Christian von Appel,A/Appel_Christian_1785_1854
http://www.wikidata.org/entity/Q113372,Vinzenz Ferrerius von Bianchi,B/Bianchi_Vinzenz-Ferrerius-Friedrich_1768_1855
http://www.wikidata.org/entity/Q112156,Carl Claus,C/Claus_Karl-Friedrich_1835_1899
http://www.wikidata.org/entity/Q113064,Alfred Collmann,C/Collmann_Alfred_1851_1937
http://www.wikidata.org/entity/Q112560,Eduard Engelmann junior,E/Engelmann_Eduard_1864_1944
http://www.wikidata.org/entity/Q99472,Anton Frind,F/Frind_Anton-Ludwig_1823_1881
http://www.wikidata.org/entity/Q98781,Bernhard Galura,G/Galura_Bernhard_1764_1856
http://www.wikidata.org/entity/Q99493,Anton Gebert,G/Gebert_Anton_1885_1942
http://www.wikidata.org/entity/Q106121,Karl Haffner,H/Haffner_Karl_1804_1876
